ID     | Command line              | Date and time    | Action(s)      | Altered
   145 | update                    | 2017-08-16 17:06 | E, I, U        |   40 EE
   144 | update                    | 2017-08-15 09:28 | Upgrade        |   86   
   143 | update                    | 2017-08-13 09:30 | Upgrade        |    8   
   142 | update                    | 2017-08-11 09:07 | I, U           |   25   
   141 | update                    | 2017-08-10 18:20 | Upgrade        |   27   
   140 | update                    | 2017-08-08 00:12 | I, U           |    9   
   139 | install i2c-tools         | 2017-08-07 19:11 | Install        |    1   
   138 | update                    | 2017-08-07 07:55 | Upgrade        |   20   
   137 | update                    | 2017-08-05 17:23 | Upgrade        |    6   
   136 | update                    | 2017-08-05 08:37 | Upgrade        |    2   
   135 | update                    | 2017-08-04 08:55 | Upgrade        |    2   
   134 | update                    | 2017-08-03 17:07 | Upgrade        |   38   
   133 | update                    | 2017-08-02 15:30 | I, U           |   83   
   132 | update                    | 2017-07-29 08:57 | Upgrade        |   12   
   131 | update                    | 2017-07-28 23:09 | Upgrade        |    8   
   130 | update                    | 2017-07-27 07:11 | Upgrade        |   87 EE
   129 | install libpcap-devel     | 2017-07-23 18:55 | Install        |    1   
   128 | install wireshark         | 2017-07-23 18:22 | Install        |    4   
   127 | update                    | 2017-07-23 14:47 | E, I, U        |  119   
   126 | --releasever=26 system-up | 2017-07-22 11:02 | D, E, I, O, U  | 2226 EE
   125 | install dnf-plugin-system | 2017-07-22 07:22 | Install        |    2   
   124 | update                    | 2017-07-21 22:00 | Upgrade        |   30 EE
   123 | update                    | 2017-07-18 17:51 | E, I, U        |   12   
   122 | update                    | 2017-07-16 11:13 | Upgrade        |   18 EE
   121 | update                    | 2017-07-15 12:35 | E, I, U        |  139   
   120 | update                    | 2017-07-08 10:39 | Upgrade        |    3   
   119 | update                    | 2017-07-06 19:16 | E, I, U        |   60 EE
   118 | update                    | 2017-06-30 17:25 | E, I, U        |   96   
   117 | update                    | 2017-06-21 20:35 | Upgrade        |    3   
   116 | update                    | 2017-06-17 21:48 | E, I, U        |   78   
   115 | update                    | 2017-06-15 20:58 | E, I, U        |   83   
   114 | install python-qt5        | 2017-06-15 20:45 | Install        |   11   
   113 | install libcurl-devel     | 2017-06-14 22:57 | Install        |    1   
   112 | update                    | 2017-06-08 15:29 | Upgrade        |   38   
   111 | update                    | 2017-06-06 17:14 | Upgrade        |   34 EE
   110 | update                    | 2017-06-03 15:41 | Upgrade        |    6   
   109 | update                    | 2017-06-02 14:01 | E, I, U        |   17   
   108 | update                    | 2017-05-31 22:45 | Upgrade        |    3 EE
   107 | update                    | 2017-05-29 17:42 | Upgrade        |   41   
   106 | update                    | 2017-05-27 12:41 | E, I, U        |   50   
   105 | update                    | 2017-05-24 13:28 | E, I, U        |   66   
   104 | update                    | 2017-05-22 19:59 | Upgrade        |   12 EE
   103 | update                    | 2017-05-21 12:55 | Upgrade        |    6   
   102 | update                    | 2017-05-20 12:05 | Upgrade        |   29   
   101 | update                    | 2017-05-18 18:40 | Upgrade        |    1   
   100 | update                    | 2017-05-17 21:31 | I, U           |   17   
    99 | update                    | 2017-05-16 22:42 | E, I, U        |   13   
    98 | update                    | 2017-05-15 21:46 | Upgrade        |   46   
    97 | update                    | 2017-05-13 01:03 | E, U           |   76 EE
    96 | update                    | 2017-05-10 16:51 | E, I, U        |   19   
    95 | update                    | 2017-05-07 13:48 | Upgrade        |   10   
    94 | update                    | 2017-05-06 17:18 | Upgrade        |   32   
    93 | update                    | 2017-05-05 16:57 | Upgrade        |   15   
    92 | update                    | 2017-05-04 09:52 | Upgrade        |   22   
    91 | update                    | 2017-05-02 18:45 | E, I, U        |   25   
    90 | update                    | 2017-05-01 08:34 | Upgrade        |    2   
    89 | update                    | 2017-04-29 18:39 | E, I, U        |   27   
    88 | update                    | 2017-04-26 09:51 | Upgrade        |    3 EE
    87 | update                    | 2017-04-25 16:49 | E, I, U        |   71   
    86 | install meshlab           | 2017-04-25 15:29 | Install        |    6   
    85 | update                    | 2017-04-25 00:05 | Upgrade        |    2   
    84 | update                    | 2017-04-22 19:34 | Upgrade        |   10   
    83 | update                    | 2017-04-21 10:10 | Upgrade        |    6   
    82 | update                    | 2017-04-20 14:40 | Upgrade        |   44   
    81 | update                    | 2017-04-18 12:45 | E, I, U        |   10   
    80 | update                    | 2017-04-17 09:01 | I, U           |    3   
    79 | update                    | 2017-04-16 10:03 | Upgrade        |   58   
    78 | update                    | 2017-04-15 16:06 | E, I, U        |   47   
    77 | install unrar             | 2017-04-15 10:06 | Install        |    1   
    76 | update                    | 2017-04-13 20:58 | Upgrade        |   13   
    75 | install python-devel      | 2017-04-12 13:50 | Install        |    2   
    74 | install postgresql        | 2017-04-12 13:30 | Install        |    1   
    73 | install lzma-devel        | 2017-04-12 13:25 | Install        |    2   
    72 | install nodejs            | 2017-04-12 13:23 | Install        |    3   
    71 | install libpqxx-devel lib | 2017-04-12 13:21 | Install        |    3   
    70 | install rabbitmq-server   | 2017-04-12 13:20 | Install        |   22   
    69 | install redis             | 2017-04-12 13:19 | Install        |    1   
    68 | install nginx-*           | 2017-04-12 13:19 | Install        |   10   
    67 | install swig              | 2017-04-12 13:18 | Install        |    1   
    66 | install kernel-devel      | 2017-04-12 11:07 | Install        |    1   
    65 | update                    | 2017-04-11 19:58 | Upgrade        |    9   
    64 | install gimp              | 2017-04-11 13:33 | Install        |    9   
    63 | update                    | 2017-04-10 09:29 | Upgrade        |   38   
    62 | update                    | 2017-04-09 10:59 | Upgrade        |    7  <
    61 | update                    | 2017-04-07 15:46 | Upgrade        |   62 > 
    60 | -y update                 | 2017-04-05 09:50 | E, I, U        |   12 EE
    59 | install qscintilla-qt5-de | 2017-04-04 11:02 | Install        |    2   
    58 | install harfbuzz harfbuzz | 2017-04-04 10:46 | Install        |    2   
    57 | install glib2 glib2-devel | 2017-04-04 10:41 | Install        |    1   
    56 | install glib glib-devel   | 2017-04-04 10:36 | Install        |    2   
    55 | install opencsg opencsg-d | 2017-04-04 10:34 | Install        |    2   
    54 | install CGAL CGAL-devel   | 2017-04-04 10:31 | Install        |   22   
    53 | install mpfr mpfr-devel   | 2017-04-04 10:29 | Install        |    1   
    52 | install gmp gmp-devel     | 2017-04-04 10:27 | Install        |    2   
    51 | install eigen3-devel      | 2017-04-04 10:25 | Install        |    1   
    50 | install qscintilla qscint | 2017-04-04 10:24 | Install        |   17   
    49 | update                    | 2017-04-03 12:06 | E, I, U        |   70 EE
    48 | install libreoffice       | 2017-03-30 17:17 | Install        |   65   
    47 | update                    | 2017-03-30 17:15 | Upgrade        |   17   
    46 | install qemu-kvm          | 2017-03-30 09:30 | Install        |   34   
    45 | install wine              | 2017-03-30 09:26 | Install        |  186   
    44 | update                    | 2017-03-30 09:20 | I, U           |   15   
    43 | install cheese            | 2017-03-29 09:33 | Install        |    5   
    42 | -y install https://repo.s | 2017-03-29 09:10 | Install        |    1 EE
    41 | update                    | 2017-03-29 09:10 | I, U           |    5   
    40 | update                    | 2017-03-27 11:18 | Upgrade        |   40   
    39 | -y update                 | 2017-03-24 15:02 | Upgrade        |    2   
    38 | install libGLEW glew glew | 2017-03-24 15:00 | Install        |    1   
    37 | install p7zip             | 2017-03-24 14:17 | Install        |    1   
    36 | install ncurses-compat-li | 2017-03-24 08:59 | Install        |    1   
    35 | install -y ffmpeg ffmpeg- | 2017-03-23 09:56 | Install        |    1   
    34 | -y update                 | 2017-03-23 09:44 | I, U           |    7 EE
    33 | install llvm35            | 2017-03-22 18:10 | Install        |    2   
    32 | install java-1.8.0-openjd | 2017-03-22 17:38 | Install        |    1   
    31 | install avr-*             | 2017-03-22 17:18 | Install        |    1   
    30 | install avr-gcc-c++ avr-g | 2017-03-22 16:47 | Install        |    1   
    29 | install binutils-avr32-li | 2017-03-22 16:46 | Install        |    2   
